LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
INYO,12284,12284U,TUTT,Tuttle Creek,IB,+,I,Lone Pine,Inyo,CA,2,363-1181,36 33 32,-118 10 16,01S,-,-,36.55889,-118.17111,-,1925,80,9,big sage shrub/willow/birch rip.,X,,x,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,98-00,3
INYO,12285,12285U,INDE,Independence Creek,AF,+,I,Independence,Inyo,CA,2,364-1181,36 46 56,-118 17 17,01S,-,-,36.78222,-118.28806,-,1820,80,9,black oak frst/willow/birch rip.,X,,x,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,98-00,3
INYO,12286,12286U,BAIR,Bair's Creek,IB,+,I,Independence,Inyo,CA,2,364-1181,36 40 53,-118 14 02,01S,-,-,36.68139,-118.23389,-,1800,80,9,big sage shrub/willow/birch rip.,X,,x,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,98-00,3
INYO,12287,12287U,TABO,Taboose Creek,IB,+,I,Independence,Inyo,CA,2,370-1181,37 00 15,-118 18 06,01S,-,-,37.00417,-118.30167,-,1435,80,9,big sage shrub/willow/birch rip.,X,,x,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,98-00,3
ATCK,12288,12288U,ATCK,Atascadero Creek,C,+,I,Goleta,Santa Barbara,CA,2,342-1194,34 25 20,-119 48 10,10S,-,-,34.42222,-119.80278,-,10,92,32,riparian corridor w/marsh & woods,X,,x,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,99-02,4
SBNE,12289,12289U,FDAM,Figueroa Dam,S,+,I,Santa Ynez,Santa Barbara,CA,2,344-1200,34 43 31,-120 02 04,01S,-,-,34.72528,-120.03444,-,410,92,32,mulefat willow and tobacco tree,X,,X,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,97-00,4
SBNE,12290,12290U,FIGM,Figueroa Mountain,AF,+,I,Los Olivos,Santa Barbara,CA,2,344-1195,34 44 30,-119 59 01,01S,-,-,34.74167,-119.98361,-,1901,92,32,montane ponderosa pine and scrub oak,X,,X,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,98-00,3
STAR,12291,12291U,STAR,Starr Ranch Sanctuary,P,+,I,Mission Viejo,Orange,CA,2,333-1173,33 36 40,-117 33 48,01S,Web - Google E.,NAD83,33.61111,-117.56333,x,236,90,32,oak-sycamore woods/sagebr. flats,X,Y99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,99-,14
NROC,12292,12292U,IRPA,Irvine Park,C,+,A,Orange Park Acres,Orange,CA,2,334-1174,33 47 35,-117 44 07,01S,-,-,33.79306,-117.73528,-,223,90,32,coastal sage scrub/live oak woodland,X,Y99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,99-03,5
NROC,12293,12293U,UPLA,Upper Laurel Canyon,C,+,A,Laguna Beach,Orange,CA,2,333-1174,33 35 48,-117 46 33,01S,-,-,33.59667,-117.77583,-,195,90,32,coastal sage scrub/live oak woodland,X,Y99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,99-03,5
