LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
MELC,13370,13370S,MLFS,Merry Lea Farmstead,P,+,I,Wolf Lake,Noble,IN,3,411-0853,41 19 16,-085 30 24,01S,-,NAD83,41.32111,-85.50667,x,277,16,23,oldfield/woodlots/thickets/wetland,X,Y03,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,02-,11
MELC,13371,13370S,MLWM,Merry Lea Wilmer Meadow,P,+,I,Wolf Lake,Noble,IN,3,411-0853,41 18 59,-085 30 37,01S,-,NAD83,41.31639,-85.51028,x,275,16,23,oldfield/wet woodland/thickets,X,Y03,X,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,02-,11
EACR,13372,13372U,SEEC,Scissons Envir. Ed. Cent.,FC,+,I,Arelee,RM #376 Eagle Creek,SK,3,521-1072,52 19 45,-107 23 40,01S,-,-,52.32917,-107.39444,-,495,37,11,native prairie/grassland/shrublnd,X,,X,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,01-05,5
BCRE,13373,13373U,FRSA,Beaver Creek Reserve FRS,P,+,I,Fall Creek,Eau Claire,WI,3,444-0911,44 48 34,-091 10 57,01S,GPS,NAD83,44.80944,-91.1825,x,295,17,23,mixed woodl./crk floodpln/restored prair,X,Y06,X,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,03-,10
WFBS,13374,13374U,WFBS,Whitford Farm,P,+,I,Harrisville,Marquette,WI,3,435-0892,43 53 37,-089 20 57,01S,-,-,43.89361,-89.34917,-,260,17,23,deciduous woods/oldfield/wetland,X,,x,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,04,1
WCTG,13375,13375S,MOFE,Mormon Field Eight,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 45,-098 24 17,01S,GIS - ArcView,NAD83,40.79583,-98.40472,x,579,34,19,post-hayed meadow,X,N03,x,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,02-07,6
WCTG,13376,13376U,MOFF,Mormon Field Five,P,+,I,Grand Island,Hall,NE,3,,-,-,-,-,-,99.99999,999.99999,-,579,34,19,tall grass prairie,,N03,x,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,"02,04-07",5
WCTG,13377,13377U,MOFN,Mormon Field Nine,P,+,I,Grand Island,Hall,NE,3,,-,-,-,-,-,99.99999,999.99999,-,579,34,19,tall grass prairie,,N03,x,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,"02,04-07",5
WCTG,13378,13375S,MOFS,Mormon Field Six,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 34,-098 25 56,01S,GIS - ArcView,NAD83,40.79278,-98.43222,x,579,34,19,rested native grassland,X,N03,x,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,02,1
WCTG,13379,13375S,MOFT,Mormon Field Three,P,+,I,Grand Island,Hall,NE,3,404-0982,40 48 07,-098 24 34,01S,GIS - ArcView,NAD83,40.80194,-98.40944,x,579,34,19,post-burn wet meadow,X,N03,x,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,02-07,6
WCTG,13380,13375S,MOFV,Mormon Field Seven,P,+,I,Doniphan,Hall,NE,3,404-0982,40 47 45,-098 25 00,01S,GIS - ArcView,NAD83,40.79583,-98.41667,x,579,34,19,managed mixed grass prairie,X,N03,x,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,,,,,,,,,,,,"02,05-06",3
WCTG,13381,13375S,WRBS,Wild Rose Big Slough,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 51,-098 26 35,01S,GIS - ArcView,NAD83,40.7975,-98.44306,x,579,34,19,post-burn meadow,X,N03,x,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,X,X,,,,,,,,,,,,,,"02-04,06",4
WCTG,13382,13375S,WRPM,Wild Rose Pit Meadow,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 03,-098 28 01,01S,GIS - ArcView,NAD83,40.78417,-98.46694,x,579,34,19,hayed meadow,X,N03,x,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,02-07,6
WCTG,13383,13375S,FONE,Field One,P,+,I,Alda,Hall,NE,3,404-0982,40 48 48,-098 24 58,01S,GIS - ArcView,NAD83,40.81333,-98.41611,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,03-07,5
WCTG,13384,13375S,NOME,North Meadow,P,+,I,Alda,Hall,NE,3,404-0982,40 47 17,-098 28 16,01S,GIS - ArcView,NAD83,40.78806,-98.47111,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,03-07,5
WCTG,13385,13375S,CRME,Crane Meadows,P,+,I,Alda,Hall,NE,3,404-0982,40 47 16,-098 29 01,01S,GIS - ArcView,NAD83,40.78778,-98.48361,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,03-04,2
WCTG,13386,13375S,MOFL,Mormon Island Fld Eleven,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 32,-098 24 46,01S,GIS - ArcView,NAD83,40.79222,-98.41278,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,03,1
WCTG,13387,13375S,OFPA,Office Pasture,P,+,I,Alda,Hall,NE,3,404-0982,40 47 29,-098 27 22,01S,GIS - ArcView,NAD83,40.79139,-98.45611,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,X,X,,,,,,,,,,,,"03-04,07",3
WCTG,13388,13375S,MOFR,Mormon Island Field Four,P,+,I,Grand Island,Hall,NE,3,404-0982,40 47 50,-098 25 12,01S,GIS - ArcView,NAD83,40.79722,-98.42,x,602,34,19,tallgrass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X,X,X,,,,,,,,,,,,"03,05-07",4
LUMS,13389,13389U,CRAV,Craven,FR,+,I,Craven,Lumsden,SK,3,504-1045,50 42 19,-104 50 40,01S,GPS,NAD83,50.70528,-104.84444,x,500,30,11,aspen-ash-willow riparian corridor,X,N06,X,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,05-,8
GOIS,13390,13390U,GOI1,Goose Island,C,+,I,La Crosse,La Crosse,WI,3,434-0911,43 43 12,-091 12 51,01S,-,NAD83,43.72,-91.21417,x,194,17,23,,,,X,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,03-07,5
GOSU,13391,13391U,GOSU,Governors St. Un. Bird Ob,P,,I,University Park,Will,IL,3,412-0874,41 26 30,-087 42 35,01S,-,-,41.44167,-87.70972,-,233,16,22,oldfield and dense shrub,X,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,03,1
BUUN,13392,13392U,RRCP,Rum River Central Park,C,+,I,Andover,Anoka,MN,3,451-0932,45 18 02,-093 22 48,01S,GPS,NAD83,45.30056,-93.38,x,270,20,23,mixed deciduous and riparian corridor,X,N08,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,06-,7
WCTG,13393,13375S,FETW,Mormon Island Field Two,P,+,I,Doniphan,Hall,NE,3,404-0982,40 48 16,-098 25 08,01S,GIS - ArcView,NAD83,40.80444,-98.41889,x,579,34,19,managed mixed grass prairie,X,N03,-,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,05-07,3
WCTG,13394,13394U,MOPT,Mormon Pasture Twelve,P,+,I,Doniphan,Hall,NE,3,404-0982,40 48 33,-098 23 14,01S,GIS - ArcView,NAD83,40.80917,-98.38722,x,579,34,19,managed mixed grass prairie,X,N03,-,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,05-07,3
WCTG,13395,13375S,WRMP,Wild Rose Middle Pasture,P,+,I,Alda,Hall,NE,3,404-0982,40 47 40,-098 26 55,01S,GIS - ArcView,NAD83,40.79444,-98.44861,x,579,34,19,managed mixed grass prairie,X,N03,x,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,05,1
EAGB,13396,13396U,EAGB,Eagle Bluffs,S,+,I,Columbia,Boone,MO,3,384-0922,38 49 73,-092 25 00,01S,-,-,38.83694,-92.41667,-,174,31,24,cottonwood-willow riparian forest,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,06-07,2
UMBS,13397,13397U,BVTL,Beavertail Creek,S,+,I,Pellston,Cheboygan,MI,3,453-0843,45 35 14,-084 39 09,01S,GPS,NAD83,45.58722,-84.6525,x,221,28,12,aspen-conifer woods adjacent to lake,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,X,,X,,X,,X,"06-07,09-",6
UMBS,13398,13398S,CEMA,Central Maple River,S,+,I,Pellston,Emmet,MI,3,453-0844,45 34 14,-084 44 42,01S,GPS,NAD83,45.57056,-84.745,x,215,28,12,aspen-conifer woods adjacent to river,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,X,,X,,X,,X,"06-07,09-",6
UMBS,13399,13399U,GATE,Gate's Bog,S,+,I,Pellston,Cheboygan,MI,3,453-0844,45 35 29,-084 40 09,01S,GPS,NAD83,45.59139,-84.66917,x,225,28,12,aspen-hardwd for. adj. to leather lf bog,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,X,,X,,X,,X,"06-07,09-",6
UMBS,13400,13398S,NMAP,North Maple River,S,+,I,Pellston,Emmet,MI,3,453-0844,45 34 45,-084 44 31,01S,GPS,NAD83,45.57917,-84.74194,x,217,28,12,aspen-conifer woods adjacent to river,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,X,,X,,X,,X,"06-07,09-",6
UMBS,13401,13401U,SOMA,South Maple River,S,+,I,Pellston,Emmet,MI,3,453-0844,45 32 42,-084 45 16,01S,GPS,NAD83,45.545,-84.75444,x,211,28,12,trembling aspen forsest adj to river,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,X,,X,,X,,X,"06-07,09-",6
UMBS,13402,13402U,BURN,Burn Plots,S,+,I,Pellston,Cheboygan,MI,3,453-0844,45 33 24,-084 42 13,01S,GPS,NAD83,45.55667,-84.70361,x,236,28,12,aspen/red oak/red pine adj. to burn plot,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,06,1
BCCA,13403,13403U,BCCA,Beaver Creek Cons. Area,P,+,I,Saskatoon,n/a,SK,3,515-1064,51 58 42,-106 42 52,01S,Web - Google E.,NAD83,51.97833,-106.71444,x,490,37,11,mixed deciduous riparian parkland,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,07-,6
LIBS,13404,13404U,LIBS,Lippincott Bird Sanctuary,P,+,I,Lima,Allen,OH,3,404-0840,40 43 22,-084 02 41,01S,Web - topozone,NAD27,40.72278,-84.04472,x,267,31,22,mixed sucession woodland/wetlnd/grasslnd,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,X,,X,,X,,X,"07,09-",5
KEYS,13405,13405U,KEYS,Keyhole State Park,S,+,I,Pine Haven,Crook,WY,3,442-1044,44 21 46,-104 49 27,01S,Web - Google E.,NAD83,44.36278,-104.82417,x,1272,39,17,Cottonwood-willow rip./shubland uplands,X,Y01,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,X,08-,5
FCTC,13406,13406U,LACE,Lawler Cemetery,DG,+,I,Augusta,Kalamazoo,MI,3,421-0852,42 18 09,-085 20 55,01S,GPS,NAD83,42.3025,-85.34861,x,270,16,23,oldfield/grassland/mature forest,X,Y99,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,09-,4
FCTC,13407,13407U,MOTT,"Mott Road, Fort Custer",DG,+,I,Augusta,Kalamazoo,MI,3,421-0851,42 17 49,-085 19 27,01S,GPS,NAD83,42.29694,-85.32417,x,270,16,23,wetland surrounded by mature forest,X,Y99,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,09-,4
FCTC,13408,13408U,SABO,SABOT-Range 14,DG,+,I,Augusta,Kalamazoo,MI,3,421-0851,42 17 49,-085 18 12,01S,GPS,NAD83,42.29694,-85.30333,x,270,16,23,wetland surrounded by mature forest,X,Y99,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,09-,4
NIPO,13409,13409U,NIPO,Niipomaki,FR,+,I,Priddis,N/A,AB,3,505-1142,50 53 54,-114 20 33,01S,Web - Google E,NAD83,50.89833,-114.3425,x,1200,30,11,mixed woodlands/pond/riparian,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,X,09-,4
INDY,13410,13410U,ECPA,Eagle Creek Park A,C,+,I,Speedway,Marion,IN,3,395-0861,39 51 36,-086 16 48,01S,GPS - Garmin,NAD83,39.86,-86.28,x,244,31,22,mid-successional decd. for. in suburbia,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,10-11,2
INDY,13411,13411U,ECPB,Eagle Creek Park B,C,+,I,Speedway,Marion,IN,3,395-0861,39 52 48,-086 18 36,01S,GPS - Garmin,NAD83,39.88,-86.31,x,244,31,22,mid-successional decd. for. in suburbia,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,10-11,2
SCSU,13412,13412U,BNCN,Beartooth Nature Center,P,+,I,Red Lodge,Carbon,MT,3,451-1091,45 16 14,-109 12 58,01S,Web - Google E.,NAD83,45.27056,-109.21611,x,1531,39,17,cottonwood-willow riparian corridor,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,,X,10-,3
PURD,13413,13413U,PURD,Purdy Nature Preserve,P,+,I,Appleton,Outagamie,WI,3,442-0882,44 20 09,-088 21 44,01S,Web - G. Earth,NAD83,44.33583,-88.36222,x,251,16,23,mixed hardwood surrounded by ag & resid.,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,10-,3
MCEX,13415,13415U,MCEX,Messenger Creek Exotics,P,+,I,North Loup,Valley,NE,3,413-0984,41 34 42,-098 46 18,01S,Web - Google E,NAD83,41.57833,-98.77167,x,597,34,19,wet grass meadow/riparian/ag fields,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,11-,2
RBSP,13416,13416U,RBSP,Rock Bridge State Park,S,+,I,Columbia,Boone,MO,3,385-0922,38 52 45,-092 20 01,01S,Web - Google E.,NAD83,38.87917,-92.33361,x,214,31,24,mixed woodland,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,,X,10-,3
WASC,13417,13417U,WASC,Wascana Centre,FS,+,I,Regina,N/A,SK,3,502-1043,50 25 25,-104 35 02,01S,GPS,NAD83,50.42361,-104.58389,x,570,30,11,Cattail marsh edge with caragana shrub,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,10-,3
DWA-,14401,14401S,DWA1,Driftwood 1,P,+,I,Driftwood,Hays,TX,4,300-0980,30 08 40,-098 02 20,10S,-,-,30.14444,-98.03889,-,305,53,20,oak-juniper,X,,x,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,89-00,12
RIFA,14402,14402U,RIFA,Riverbank Farm,P,?,I,Carlos,Grimes,TX,4,303-0961,30 39 00,-096 10 00,01M,-,-,30.65,-96.16667,-,9999,8,21,deciduous bottomland forest,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1
RSCO,14403,14403U,RSCO,Rogers State College,P,,I,Claremore,Rogers,OK,4,361-0953,36 19 20,-095 38 10,10S,-,-,36.32222,-95.63611,-,160,33,22,oak-hickory forest/savanna,X,,x,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
DWA3,14404,14404U,DWA3,Mansfield Dam,P,+,I,Lakeway,Travis,TX,4,302-0975,30 23 00,-097 55 00,01M,-,-,30.38333,-97.91667,-,213,53,20,ashe juniper/oak woodland,X,,x,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14405,14405U,NC01,Nature Conservancy 1,P,,I,Pearsonia,Osage,OK,4,364-0962,36 48 00,-096 24 40,10S,-,-,36.8,-96.41111,-,290,33,22,tallgrass prairie/cross timbers,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14406,14406U,NC02,Nature Conservancy 2,P,,I,Pearsonia,Osage,OK,4,365-0962,36 50 00,-096 26 40,10S,-,-,36.83333,-96.44444,-,290,33,22,tallgrass prairie/riparian,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14407,14407U,NC03,Nature Conservancy 3,P,,I,Pearsonia,Osage,OK,4,365-0962,36 51 20,-096 25 30,10S,-,-,36.85556,-96.425,-,290,33,22,tallgrass prairie/cross timbers,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14408,14408S,NC04,Nature Conservancy 4,P,,I,Pearsonia,Osage,OK,4,365-0962,36 51 40,-096 22 40,10S,-,-,36.86111,-96.37778,-,290,33,22,tallgrass prairie/cross timbers,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14409,14408S,NC05,Nature Conservancy 5,P,,I,Pearsonia,Osage,OK,4,365-0962,36 51 40,-096 22 40,10S,-,-,36.86111,-96.37778,-,290,33,22,tallgrass prairie/cross timbers,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14410,14410U,JD06,JD06,P,?,I,Foraker,Osage,OK,4,365-0963,36 51 30,-096 32 00,10S,-,-,36.85833,-96.53333,-,270,33,22,riparian/wheat field,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
SARC,14411,14411S,RBEA,Red Bird Ranch East,P,?,I,Oglesby,Washington,OK,4,364-0955,36 40 50,-095 52 10,10S,-,-,36.68056,-95.86944,-,230,33,22,grazed tallgrass prair./riparian,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14412,14411S,RBWE,Red Bird Ranch West,P,?,I,Oglesby,Washington,OK,4,364-0955,36 41 00,-095 52 40,10S,-,-,36.68333,-95.87778,-,230,33,22,grazed tallgrass prair./riparian,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14413,14413U,ADNO,Adams North,P,?,I,Ochelata,Osage,OK,4,363-0960,36 35 10,-096 01 00,10S,-,-,36.58611,-96.01667,-,240,33,21,tallgrass prair/ponds/persimmons,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14414,14414U,ADMI,Adams Middle,P,?,I,Ochelata,Osage,OK,4,363-0960,36 33 30,-096 00 50,10S,-,-,36.55833,-96.01389,-,240,33,21,tallgrass prairie/pond/woodland,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14415,14415U,ADSO,Adams South,P,?,I,Wolco,Osage,OK,4,363-0960,36 32 50,-096 02 30,10S,-,-,36.54722,-96.04167,-,240,33,21,tallgrass prairie/decid. scrub,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
SARC,14416,14416U,HUGH,Hughes Ranch,P,?,I,Ochelata,Osage,OK,4,363-0960,36 39 30,-096 02 20,10S,-,-,36.65833,-96.03889,-,240,33,21,tallgrass prair./decid. scrub,X,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92-96,5
DWA-,14417,14401S,DWA2,Driftwood 2,P,+,I,Driftwood,Hays,TX,4,300-0980,30 08 40,-098 02 20,10S,-,-,30.14444,-98.03889,-,305,53,20,oak-juniper woodland/grassland,X,,x,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,92-00,9
NSU-,14418,14418U,NSU-,Northeastern,S,+,I,Okay,Wagoner,OK,4,355-0951,35 54 10,-095 19 20,10S,-,-,35.90278,-95.32222,-,180,33,22,scrub/riparian wdlnd./littoral,X,,x,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,1
TENS,14419,14419S,UT1-,UT1,IW,+,I,Waverly,Madison,LA,4,322-0912,32 21 04,-091 20 53,01S,Web - Google E,NAD83,32.35111,-91.34806,x,22,5,26,bottomland hardwood forest,X,Y03,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,93-01,9
TENS,14420,14419S,TRT1,TRT 1,IW,+,I,Waverly,Madison,LA,4,322-0912,32 20 50,-091 20 46,01S,Web - Google E,NAD83,32.34722,-91.34611,x,22,5,26,bottomland hardwood forest,X,Y99,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,93-06,14
FTGI,14421,14421U,FTGI,Fort Gibson,S,+,I,Okay,Wagoner,OK,4,355-0951,35 53 30,-095 18 40,10S,-,-,35.89167,-95.31111,-,183,33,22,forest edge/shrub,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,,,,,,,,,,"93-04,06-08",15
LEON,14422,14422U,BIPI,Big Piney,DA,+,A,Devils Elbow,Pulaski,MO,4,374-0920,37 44 15,-092 02 42,01S,GPS -GPSMAP 76,NAD83,37.7375,-92.045,x,235,19,24,bottomland riparian forest,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,93-10,18
LEON,14423,14423U,LABO,Laughlin Bottoms,DA,+,A,St. Robert,Pulaski,MO,4,374-0921,37 46 41,-092 10 33,01S,GPS -GPSMAP 76,NAD83,37.77806,-92.17583,x,300,19,24,deciduous floodplain/oldfield,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,93-10,18
LEON,14424,14424S,MIPO,Miller Pond,DA,+,A,Devils Elbow,Pulaski,MO,4,374-0920,37 41 44,-092 06 46,10S,GPS -GPSMAP 76,NAD83,37.69556,-92.11278,x,326,19,24,pond basin/oldfield/deciduous,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,93-10,18
LEON,14425,14425U,MACE,Macedonia,DA,+,A,Nebo,Pulaski,MO,4,373-0921,37 36 44,-092 14 14,10S,GPS -GPSMAP 76,NAD83,37.61222,-92.23722,x,360,19,24,oldfield/cedar breaks/dec. for.,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,93-10,18
LEON,14426,14426U,SMRI,Smith Ridge,DA,+,A,St. Robert,Pulaski,MO,4,374-0921,37 44 17,-092 11 48,01S,-,-,37.73806,-92.19667,-,320,19,24,upland deciduous forest,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,93-02,10
LEON,14427,14427U,MIRI,Miller Ridge,DA,+,A,Devils Elbow,Pulaski,MO,4,374-0920,37 43 00,-092 03 30,10S,-,-,37.71667,-92.05833,-,270,19,24,upland deciduous forest,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,93-02,10
RILE,14428,14428U,TICR,Timber Creek,DA,+,A,Bala,Riley,KS,4,391-0965,39 17 28,-096 57 33,01S,-,-,39.29111,-96.95917,-,369,35,22,deciduous forest/old field,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,93-02,10
RILE,14429,14429U,KARI,Kansas River,DA,+,A,Grandview Plaza,Geary,KS,4,390-0964,39 03 21,-096 47 27,01S,-,-,39.05583,-96.79083,-,323,35,22,bottomland deciduous forest,X,,X,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,93-02,10
HOOD,14430,14430U,SHOR,Shorthorn,DA,+,A,Flat,Coryell,TX,4,312-0973,31 21 36,-097 39 52,01S,GPS -GPSMAP 76,NAD83,31.36,-97.66444,x,220,8,21,mesquite/mixed woodland,X,,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,"94-02,04-08",14
HOOD,14431,14431U,TAYL,Taylor Field,DA,+,A,Nolanville,Bell,TX,4,311-0973,31 10 44,-097 33 33,01S,GPS -GPSMAP 76,NAD83,31.17889,-97.55917,x,240,8,20,oak-juniper woodland,X,,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,"94-02,04-08",14
HOOD,14432,14432U,DEER,Deer Camp,DA,+,A,Flat,Coryell,TX,4,311-0974,31 18 42,-097 40 46,01S,-,-,31.31167,-97.67944,-,280,8,21,disturbed oak/juniper woodland,X,,x,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,1
HOOD,14433,14433U,ENGI,Engineer Lake,DA,+,A,Killeen,Bell,TX,4,310-0973,31 09 12,-097 39 53,01S,GPS -GPSMAP 76,NAD83,31.15333,-97.66472,x,280,8,20,oak-cedar elm woodland,X,,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,"94-02,04-08",14
